Дата,Товар,Категория,Цена,Количество,Город
2024-01-15,Ноутбук,Электроника,45000,5,Москва
2024-01-16,Телефон,Электроника,25000,8,Москва
2024-01-17,Наушники,Аксессуары,3000,15,СПб
2024-01-18,Планшет,Электроника,15000,4,Казань
2024-01-19,Клавиатура,Аксессуары,2000,10,Москва
2024-01-20,Мышка,Аксессуары,1000,20,СПб
2024-02-01,Монитор,Электроника,22000,3,Москва
2024-02-02,Ноутбук,Электроника,45000,7,СПб
2024-02-03,Телефон,Электроника,25000,10,Казань
2024-02-04,Наушники,Аксессуары,3000,12,Москва
2024-02-05,Планшет,Электроника,15000,6,СПб
2024-02-06,Клавиатура,Аксессуары,2000,8,Казань
2024-03-01,Мышка,Аксессуары,1000,25,Москва
2024-03-02,Монитор,Электроника,22000,5,СПб
2024-03-03,Ноутбук,Электроника,45000,8,Казань
2024-03-04,Телефон,Электроника,25000,6,Москва
2024-03-05,Наушники,Аксессуары,3000,20,СПб
2024-03-06,Планшет,Электроника,15000,7,Казань
2024-03-07,Клавиатура,Аксессуары,2000,15,Москва
2024-03-08,Мышка,Аксессуары,1000,30,СПб
2024-03-09,Монитор,Электроника,22000,4,Москва
2024-03-10,Ноутбук,Электроника,45000,9,СПб
2024-03-11,Телефон,Электроника,25000,12,Казань
2024-03-12,Наушники,Аксессуары,3000,18,Москва
