Дата,День,Температура,Влажность,Осадки,Ветер,Давление
2024-06-01,Пн,18,65,0,3,1012
2024-06-02,Вт,20,70,2,4,1010
2024-06-03,Ср,22,55,0,2,1015
2024-06-04,Чт,19,75,5,5,1008
2024-06-05,Пт,21,60,0,3,1013
2024-06-06,Сб,23,50,0,2,1016
2024-06-07,Вс,17,80,8,6,1005
2024-06-08,Пн,19,68,1,3,1011
2024-06-09,Вт,24,45,0,2,1018
2024-06-10,Ср,20,72,3,4,1009
2024-06-11,Чт,22,58,0,3,1014
2024-06-12,Пт,18,78,6,5,1007
2024-06-13,Сб,25,42,0,2,1019
2024-06-14,Вс,21,65,2,3,1012
2024-06-15,Пн,16,82,10,7,1003
2024-06-16,Вт,19,70,1,3,1010
2024-06-17,Ср,23,48,0,2,1017
2024-06-18,Чт,20,75,4,4,1008
2024-06-19,Пт,22,55,0,3,1015
2024-06-20,Сб,24,40,0,2,1020
2024-06-21,Вс,18,72,3,4,1009
2024-06-22,Пн,21,60,0,3,1013
2024-06-23,Вт,19,68,2,3,1011
2024-06-24,Ср,26,35,0,1,1022
2024-06-25,Чт,22,55,0,2,1016
2024-06-26,Пт,20,70,1,3,1010
2024-06-27,Сб,17,78,5,5,1006
2024-06-28,Вс,23,45,0,2,1018
2024-06-29,Пн,25,38,0,1,1020
2024-06-30,Вт,21,60,0,3,1014
